Electoral wards and divisions Code,Electoral wards and divisions,Household composition (15 categories) Code,Household composition (15 categories),Observation
E05013658,Gospel Oak,8,Single family household: Cohabiting couple family: With dependent children,124
E05013658,Gospel Oak,9,Single family household: Cohabiting couple family: All children non-dependent,33
E05013658,Gospel Oak,10,Single family household: Lone parent family: With dependent children,405
E05013658,Gospel Oak,11,Single family household: Lone parent family: All children non-dependent,313
E05013658,Gospel Oak,12,Other household types: Other related household: Other family composition,73
E05013658,Gospel Oak,13,Other household types: With dependent children,151
E05013658,Gospel Oak,14,"Other household types: Other, including all full-time students and all aged 66 years and over",386
E05013659,Hampstead Town,-8,Does not apply,0
E05013659,Hampstead Town,1,One-person household: Aged 66 years and over,532
E05013659,Hampstead Town,2,One-person household: Other,847
E05013659,Hampstead Town,3,Single family household: All aged 66 years and over,284
E05013659,Hampstead Town,4,Single family household: Married or civil partnership couple: No children,410
E05013659,Hampstead Town,5,Single family household: Married or civil partnership couple: Dependent children,657
E05013659,Hampstead Town,6,Single family household: Married or civil partnership couple: All children non-dependent,104
E05013659,Hampstead Town,7,Single family household: Cohabiting couple family: No children,318
E05013659,Hampstead Town,8,Single family household: Cohabiting couple family: With dependent children,75
E05013659,Hampstead Town,9,Single family household: Cohabiting couple family: All children non-dependent,11
E05013659,Hampstead Town,10,Single family household: Lone parent family: With dependent children,137
E05013659,Hampstead Town,11,Single family household: Lone parent family: All children non-dependent,77
E05013659,Hampstead Town,12,Other household types: Other related household: Other family composition,25
E05013659,Hampstead Town,13,Other household types: With dependent children,54
E05013659,Hampstead Town,14,"Other household types: Other, including all full-time students and all aged 66 years and over",188
E05013660,Haverstock,-8,Does not apply,0
E05013660,Haverstock,1,One-person household: Aged 66 years and over,577
E05013660,Haverstock,2,One-person household: Other,1254
E05013660,Haverstock,3,Single family household: All aged 66 years and over,127
E05013660,Haverstock,4,Single family household: Married or civil partnership couple: No children,295
E05013660,Haverstock,5,Single family household: Married or civil partnership couple: Dependent children,589
E05013660,Haverstock,6,Single family household: Married or civil partnership couple: All children non-dependent,154
E05013660,Haverstock,7,Single family household: Cohabiting couple family: No children,408
E05013660,Haverstock,8,Single family household: Cohabiting couple family: With dependent children,105
E05013660,Haverstock,9,Single family household: Cohabiting couple family: All children non-dependent,21
E05013660,Haverstock,10,Single family household: Lone parent family: With dependent children,460
E05013660,Haverstock,11,Single family household: Lone parent family: All children non-dependent,361
E05013660,Haverstock,12,Other household types: Other related household: Other family composition,92
E05013660,Haverstock,13,Other household types: With dependent children,180
E05013660,Haverstock,14,"Other household types: Other, including all full-time students and all aged 66 years and over",489
E05013661,Highgate (Camden),-8,Does not apply,0
E05013661,Highgate (Camden),1,One-person household: Aged 66 years and over,600
E05013661,Highgate (Camden),2,One-person household: Other,924
E05013661,Highgate (Camden),3,Single family household: All aged 66 years and over,303
E05013661,Highgate (Camden),4,Single family household: Married or civil partnership couple: No children,336
E05013661,Highgate (Camden),5,Single family household: Married or civil partnership couple: Dependent children,613
E05013661,Highgate (Camden),6,Single family household: Married or civil partnership couple: All children non-dependent,201
E05013661,Highgate (Camden),7,Single family household: Cohabiting couple family: No children,286
E05013661,Highgate (Camden),8,Single family household: Cohabiting couple family: With dependent children,124
E05013661,Highgate (Camden),9,Single family household: Cohabiting couple family: All children non-dependent,18
E05013661,Highgate (Camden),10,Single family household: Lone parent family: With dependent children,298
E05013661,Highgate (Camden),11,Single family household: Lone parent family: All children non-dependent,251
E05013661,Highgate (Camden),12,Other household types: Other related household: Other family composition,36
E05013661,Highgate (Camden),13,Other household types: With dependent children,125
E05013661,Highgate (Camden),14,"Other household types: Other, including all full-time students and all aged 66 years and over",334
E05013662,Holborn & Covent Garden,-8,Does not apply,0
E05013662,Holborn & Covent Garden,1,One-person household: Aged 66 years and over,526
E05013662,Holborn & Covent Garden,2,One-person household: Other,1763
E05013662,Holborn & Covent Garden,3,Single family household: All aged 66 years and over,108
E05013662,Holborn & Covent Garden,4,Single family household: Married or civil partnership couple: No children,346
E05013662,Holborn & Covent Garden,5,Single family household: Married or civil partnership couple: Dependent children,350
E05013662,Holborn & Covent Garden,6,Single family household: Married or civil partnership couple: All children non-dependent,131
E05013662,Holborn & Covent Garden,7,Single family household: Cohabiting couple family: No children,421
E05013662,Holborn & Covent Garden,8,Single family household: Cohabiting couple family: With dependent children,65
E05013662,Holborn & Covent Garden,9,Single family household: Cohabiting couple family: All children non-dependent,20
E05013662,Holborn & Covent Garden,10,Single family household: Lone parent family: With dependent children,283
E05013662,Holborn & Covent Garden,11,Single family household: Lone parent family: All children non-dependent,273
E05013662,Holborn & Covent Garden,12,Other household types: Other related household: Other family composition,136
E05013662,Holborn & Covent Garden,13,Other household types: With dependent children,112
E05013662,Holborn & Covent Garden,14,"Other household types: Other, including all full-time students and all aged 66 years and over",527
E05013663,Kentish Town North,-8,Does not apply,0
E05013663,Kentish Town North,1,One-person household: Aged 66 years and over,282
E05013663,Kentish Town North,2,One-person household: Other,964
E05013663,Kentish Town North,3,Single family household: All aged 66 years and over,89
E05013663,Kentish Town North,4,Single family household: Married or civil partnership couple: No children,220
E05013663,Kentish Town North,5,Single family household: Married or civil partnership couple: Dependent children,308
E05013663,Kentish Town North,6,Single family household: Married or civil partnership couple: All children non-dependent,83
E05013663,Kentish Town North,7,Single family household: Cohabiting couple family: No children,419
E05013663,Kentish Town North,8,Single family household: Cohabiting couple family: With dependent children,100
E05013663,Kentish Town North,9,Single family household: Cohabiting couple family: All children non-dependent,17
E05013663,Kentish Town North,10,Single family household: Lone parent family: With dependent children,222
E05013663,Kentish Town North,11,Single family household: Lone parent family: All children non-dependent,151
E05013663,Kentish Town North,12,Other household types: Other related household: Other family composition,48
E05013663,Kentish Town North,13,Other household types: With dependent children,69
E05013663,Kentish Town North,14,"Other household types: Other, including all full-time students and all aged 66 years and over",333
E05013664,Kentish Town South,-8,Does not apply,0
E05013664,Kentish Town South,1,One-person household: Aged 66 years and over,424
E05013664,Kentish Town South,2,One-person household: Other,1115
E05013664,Kentish Town South,3,Single family household: All aged 66 years and over,121
E05013664,Kentish Town South,4,Single family household: Married or civil partnership couple: No children,291
E05013664,Kentish Town South,5,Single family household: Married or civil partnership couple: Dependent children,472
E05013664,Kentish Town South,6,Single family household: Married or civil partnership couple: All children non-dependent,123
E05013664,Kentish Town South,7,Single family household: Cohabiting couple family: No children,396
E05013664,Kentish Town South,8,Single family household: Cohabiting couple family: With dependent children,127
E05013664,Kentish Town South,9,Single family household: Cohabiting couple family: All children non-dependent,17
E05013664,Kentish Town South,10,Single family household: Lone parent family: With dependent children,341
E05013664,Kentish Town South,11,Single family household: Lone parent family: All children non-dependent,253
E05013664,Kentish Town South,12,Other household types: Other related household: Other family composition,70
E05013664,Kentish Town South,13,Other household types: With dependent children,107
E05013664,Kentish Town South,14,"Other household types: Other, including all full-time students and all aged 66 years and over",517
E05013665,Kilburn (Camden),-8,Does not apply,0
E05013665,Kilburn (Camden),1,One-person household: Aged 66 years and over,721
E05013665,Kilburn (Camden),2,One-person household: Other,1604
E05013665,Kilburn (Camden),3,Single family household: All aged 66 years and over,115
E05013665,Kilburn (Camden),4,Single family household: Married or civil partnership couple: No children,321
E05013665,Kilburn (Camden),5,Single family household: Married or civil partnership couple: Dependent children,582
E05013665,Kilburn (Camden),6,Single family household: Married or civil partnership couple: All children non-dependent,131
E05013665,Kilburn (Camden),7,Single family household: Cohabiting couple family: No children,435
E05013665,Kilburn (Camden),8,Single family household: Cohabiting couple family: With dependent children,109
E05013665,Kilburn (Camden),9,Single family household: Cohabiting couple family: All children non-dependent,24
E05013665,Kilburn (Camden),10,Single family household: Lone parent family: With dependent children,480
E05013665,Kilburn (Camden),11,Single family household: Lone parent family: All children non-dependent,302
E05013665,Kilburn (Camden),12,Other household types: Other related household: Other family composition,109
E05013665,Kilburn (Camden),13,Other household types: With dependent children,161
E05013665,Kilburn (Camden),14,"Other household types: Other, including all full-time students and all aged 66 years and over",468
E05013666,King's Cross,-8,Does not apply,0
E05013666,King's Cross,1,One-person household: Aged 66 years and over,367
E05013666,King's Cross,2,One-person household: Other,1472
E05013666,King's Cross,3,Single family household: All aged 66 years and over,87
E05013666,King's Cross,4,Single family household: Married or civil partnership couple: No children,247
E05013666,King's Cross,5,Single family household: Married or civil partnership couple: Dependent children,361
E05013666,King's Cross,6,Single family household: Married or civil partnership couple: All children non-dependent,152
E05013666,King's Cross,7,Single family household: Cohabiting couple family: No children,344
E05013666,King's Cross,8,Single family household: Cohabiting couple family: With dependent children,63
E05013666,King's Cross,9,Single family household: Cohabiting couple family: All children non-dependent,11
E05013666,King's Cross,10,Single family household: Lone parent family: With dependent children,311
E05013666,King's Cross,11,Single family household: Lone parent family: All children non-dependent,222
E05013666,King's Cross,12,Other household types: Other related household: Other family composition,129
E05013666,King's Cross,13,Other household types: With dependent children,122
E05013666,King's Cross,14,"Other household types: Other, including all full-time students and all aged 66 years and over",534
E05013667,Primrose Hill,-8,Does not apply,0
E05013667,Primrose Hill,1,One-person household: Aged 66 years and over,859
E05013667,Primrose Hill,2,One-person household: Other,1387
E05013667,Primrose Hill,3,Single family household: All aged 66 years and over,243
E05013667,Primrose Hill,4,Single family household: Married or civil partnership couple: No children,438
E05013667,Primrose Hill,5,Single family household: Married or civil partnership couple: Dependent children,940
E05013667,Primrose Hill,6,Single family household: Married or civil partnership couple: All children non-dependent,191
E05013667,Primrose Hill,7,Single family household: Cohabiting couple family: No children,381
E05013667,Primrose Hill,8,Single family household: Cohabiting couple family: With dependent children,97
E05013667,Primrose Hill,9,Single family household: Cohabiting couple family: All children non-dependent,17
E05013667,Primrose Hill,10,Single family household: Lone parent family: With dependent children,315
E05013667,Primrose Hill,11,Single family household: Lone parent family: All children non-dependent,250
E05013667,Primrose Hill,12,Other household types: Other related household: Other family composition,64
E05013667,Primrose Hill,13,Other household types: With dependent children,132
E05013667,Primrose Hill,14,"Other household types: Other, including all full-time students and all aged 66 years and over",346
E05013668,Regent's Park (Camden),-8,Does not apply,0
E05013668,Regent's Park (Camden),1,One-person household: Aged 66 years and over,441
E05013668,Regent's Park (Camden),2,One-person household: Other,1414
E05013668,Regent's Park (Camden),3,Single family household: All aged 66 years and over,99
E05013668,Regent's Park (Camden),4,Single family household: Married or civil partnership couple: No children,261
E05013668,Regent's Park (Camden),5,Single family household: Married or civil partnership couple: Dependent children,510
E05013668,Regent's Park (Camden),6,Single family household: Married or civil partnership couple: All children non-dependent,177
E05013668,Regent's Park (Camden),7,Single family household: Cohabiting couple family: No children,347
E05013668,Regent's Park (Camden),8,Single family household: Cohabiting couple family: With dependent children,87
E05013668,Regent's Park (Camden),9,Single family household: Cohabiting couple family: All children non-dependent,19
E05013668,Regent's Park (Camden),10,Single family household: Lone parent family: With dependent children,375
E05013668,Regent's Park (Camden),11,Single family household: Lone parent family: All children non-dependent,330
E05013668,Regent's Park (Camden),12,Other household types: Other related household: Other family composition,122
E05013668,Regent's Park (Camden),13,Other household types: With dependent children,190
E05013668,Regent's Park (Camden),14,"Other household types: Other, including all full-time students and all aged 66 years and over",599
E05013669,St Pancras & Somers Town,-8,Does not apply,0
E05013669,St Pancras & Somers Town,1,One-person household: Aged 66 years and over,422
E05013669,St Pancras & Somers Town,2,One-person household: Other,1263
E05013669,St Pancras & Somers Town,3,Single family household: All aged 66 years and over,74
E05013669,St Pancras & Somers Town,4,Single family household: Married or civil partnership couple: No children,206
E05013669,St Pancras & Somers Town,5,Single family household: Married or civil partnership couple: Dependent children,535
E05013669,St Pancras & Somers Town,6,Single family household: Married or civil partnership couple: All children non-dependent,180
E05013669,St Pancras & Somers Town,7,Single family household: Cohabiting couple family: No children,231
E05013669,St Pancras & Somers Town,8,Single family household: Cohabiting couple family: With dependent children,68
E05013669,St Pancras & Somers Town,9,Single family household: Cohabiting couple family: All children non-dependent,27
E05013669,St Pancras & Somers Town,10,Single family household: Lone parent family: With dependent children,498
E05013669,St Pancras & Somers Town,11,Single family household: Lone parent family: All children non-dependent,434
E05013669,St Pancras & Somers Town,12,Other household types: Other related household: Other family composition,125
E05013669,St Pancras & Somers Town,13,Other household types: With dependent children,169
E05013669,St Pancras & Somers Town,14,"Other household types: Other, including all full-time students and all aged 66 years and over",634
E05013670,South Hampstead,-8,Does not apply,0
E05013670,South Hampstead,1,One-person household: Aged 66 years and over,466
E05013670,South Hampstead,2,One-person household: Other,1538
E05013670,South Hampstead,3,Single family household: All aged 66 years and over,153
E05013670,South Hampstead,4,Single family household: Married or civil partnership couple: No children,496
E05013670,South Hampstead,5,Single family household: Married or civil partnership couple: Dependent children,809
E05013670,South Hampstead,6,Single family household: Married or civil partnership couple: All children non-dependent,118
E05013670,South Hampstead,7,Single family household: Cohabiting couple family: No children,598
E05013670,South Hampstead,8,Single family household: Cohabiting couple family: With dependent children,107
E05013670,South Hampstead,9,Single family household: Cohabiting couple family: All children non-dependent,15
E05013670,South Hampstead,10,Single family household: Lone parent family: With dependent children,305
E05013670,South Hampstead,11,Single family household: Lone parent family: All children non-dependent,199
E05013670,South Hampstead,12,Other household types: Other related household: Other family composition,107
E05013670,South Hampstead,13,Other household types: With dependent children,91
E05013670,South Hampstead,14,"Other household types: Other, including all full-time students and all aged 66 years and over",547
E05013671,West Hampstead,-8,Does not apply,0
E05013671,West Hampstead,1,One-person household: Aged 66 years and over,448
E05013671,West Hampstead,2,One-person household: Other,1641
E05013671,West Hampstead,3,Single family household: All aged 66 years and over,109
E05013671,West Hampstead,4,Single family household: Married or civil partnership couple: No children,437
E05013671,West Hampstead,5,Single family household: Married or civil partnership couple: Dependent children,600
E05013671,West Hampstead,6,Single family household: Married or civil partnership couple: All children non-dependent,123
E05013671,West Hampstead,7,Single family household: Cohabiting couple family: No children,627
E05013671,West Hampstead,8,Single family household: Cohabiting couple family: With dependent children,90
E05013671,West Hampstead,9,Single family household: Cohabiting couple family: All children non-dependent,10
E05013671,West Hampstead,10,Single family household: Lone parent family: With dependent children,280
E05013671,West Hampstead,11,Single family household: Lone parent family: All children non-dependent,216
E05013671,West Hampstead,12,Other household types: Other related household: Other family composition,97
E05013671,West Hampstead,13,Other household types: With dependent children,89
E05013671,West Hampstead,14,"Other household types: Other, including all full-time students and all aged 66 years and over",576
E05013672,Arnos Grove,-8,Does not apply,0
E05013672,Arnos Grove,1,One-person household: Aged 66 years and over,321
E05013672,Arnos Grove,2,One-person household: Other,318
E05013672,Arnos Grove,3,Single family household: All aged 66 years and over,297
E05013672,Arnos Grove,4,Single family household: Married or civil partnership couple: No children,244
E05013672,Arnos Grove,5,Single family household: Married or civil partnership couple: Dependent children,607
E05013672,Arnos Grove,6,Single family household: Married or civil partnership couple: All children non-dependent,298
E05013672,Arnos Grove,7,Single family household: Cohabiting couple family: No children,104
E05013672,Arnos Grove,8,Single family household: Cohabiting couple family: With dependent children,85
E05013672,Arnos Grove,9,Single family household: Cohabiting couple family: All children non-dependent,14
E05013672,Arnos Grove,10,Single family household: Lone parent family: With dependent children,130
E05013672,Arnos Grove,11,Single family household: Lone parent family: All children non-dependent,141
E05013672,Arnos Grove,12,Other household types: Other related household: Other family composition,37
E05013672,Arnos Grove,13,Other household types: With dependent children,188
E05013672,Arnos Grove,14,"Other household types: Other, including all full-time students and all aged 66 years and over",176
E05013673,Bowes,-8,Does not apply,0
E05013673,Bowes,1,One-person household: Aged 66 years and over,326
E05013673,Bowes,2,One-person household: Other,610
E05013673,Bowes,3,Single family household: All aged 66 years and over,193
E05013673,Bowes,4,Single family household: Married or civil partnership couple: No children,222
E05013673,Bowes,5,Single family household: Married or civil partnership couple: Dependent children,564
E05013673,Bowes,6,Single family household: Married or civil partnership couple: All children non-dependent,316
E05013673,Bowes,7,Single family household: Cohabiting couple family: No children,134
E05013673,Bowes,8,Single family household: Cohabiting couple family: With dependent children,88
E05013673,Bowes,9,Single family household: Cohabiting couple family: All children non-dependent,18
E05013673,Bowes,10,Single family household: Lone parent family: With dependent children,353
E05013673,Bowes,11,Single family household: Lone parent family: All children non-dependent,259
E05013673,Bowes,12,Other household types: Other related household: Other family composition,85
E05013673,Bowes,13,Other household types: With dependent children,300
E05013673,Bowes,14,"Other household types: Other, including all full-time students and all aged 66 years and over",368
E05013674,Brimsdown,-8,Does not apply,0
E05013674,Brimsdown,1,One-person household: Aged 66 years and over,423
E05013674,Brimsdown,2,One-person household: Other,815
E05013674,Brimsdown,3,Single family household: All aged 66 years and over,245
E05013674,Brimsdown,4,Single family household: Married or civil partnership couple: No children,305
E05013674,Brimsdown,5,Single family household: Married or civil partnership couple: Dependent children,924
E05013674,Brimsdown,6,Single family household: Married or civil partnership couple: All children non-dependent,438
E05013674,Brimsdown,7,Single family household: Cohabiting couple family: No children,108
E05013674,Brimsdown,8,Single family household: Cohabiting couple family: With dependent children,157
E05013674,Brimsdown,9,Single family household: Cohabiting couple family: All children non-dependent,45
E05013674,Brimsdown,10,Single family household: Lone parent family: With dependent children,1062
E05013674,Brimsdown,11,Single family household: Lone parent family: All children non-dependent,430
E05013674,Brimsdown,12,Other household types: Other related household: Other family composition,86
E05013674,Brimsdown,13,Other household types: With dependent children,346
E05013674,Brimsdown,14,"Other household types: Other, including all full-time students and all aged 66 years and over",250
E05013675,Bullsmoor,-8,Does not apply,0
E05013675,Bullsmoor,1,One-person household: Aged 66 years and over,317
E05013675,Bullsmoor,2,One-person household: Other,571
E05013675,Bullsmoor,3,Single family household: All aged 66 years and over,186
E05013675,Bullsmoor,4,Single family household: Married or civil partnership couple: No children,220
E05013675,Bullsmoor,5,Single family household: Married or civil partnership couple: Dependent children,604
E05013675,Bullsmoor,6,Single family household: Married or civil partnership couple: All children non-dependent,339
E05013675,Bullsmoor,7,Single family household: Cohabiting couple family: No children,81
E05013675,Bullsmoor,8,Single family household: Cohabiting couple family: With dependent children,128
E05013675,Bullsmoor,9,Single family household: Cohabiting couple family: All children non-dependent,33
E05013675,Bullsmoor,10,Single family household: Lone parent family: With dependent children,642
E05013675,Bullsmoor,11,Single family household: Lone parent family: All children non-dependent,385
E05013675,Bullsmoor,12,Other household types: Other related household: Other family composition,51
E05013675,Bullsmoor,13,Other household types: With dependent children,267
E05013675,Bullsmoor,14,"Other household types: Other, including all full-time students and all aged 66 years and over",152
E05013676,Bush Hill Park,-8,Does not apply,0
E05013676,Bush Hill Park,1,One-person household: Aged 66 years and over,749
E05013676,Bush Hill Park,2,One-person household: Other,605
E05013676,Bush Hill Park,3,Single family household: All aged 66 years and over,505
E05013676,Bush Hill Park,4,Single family household: Married or civil partnership couple: No children,404
E05013676,Bush Hill Park,5,Single family household: Married or civil partnership couple: Dependent children,823
E05013676,Bush Hill Park,6,Single family household: Married or civil partnership couple: All children non-dependent,494
E05013676,Bush Hill Park,7,Single family household: Cohabiting couple family: No children,173
E05013676,Bush Hill Park,8,Single family household: Cohabiting couple family: With dependent children,131
E05013676,Bush Hill Park,9,Single family household: Cohabiting couple family: All children non-dependent,29
E05013676,Bush Hill Park,10,Single family household: Lone parent family: With dependent children,260
E05013676,Bush Hill Park,11,Single family household: Lone parent family: All children non-dependent,252
E05013676,Bush Hill Park,12,Other household types: Other related household: Other family composition,27
E05013676,Bush Hill Park,13,Other household types: With dependent children,223
E05013676,Bush Hill Park,14,"Other household types: Other, including all full-time students and all aged 66 years and over",203
E05013677,Carterhatch,-8,Does not apply,0
E05013677,Carterhatch,1,One-person household: Aged 66 years and over,361
E05013677,Carterhatch,2,One-person household: Other,551
E05013677,Carterhatch,3,Single family household: All aged 66 years and over,148
E05013677,Carterhatch,4,Single family household: Married or civil partnership couple: No children,195
E05013677,Carterhatch,5,Single family household: Married or civil partnership couple: Dependent children,655
E05013677,Carterhatch,6,Single family household: Married or civil partnership couple: All children non-dependent,312
E05013677,Carterhatch,7,Single family household: Cohabiting couple family: No children,54
E05013677,Carterhatch,8,Single family household: Cohabiting couple family: With dependent children,130
E05013677,Carterhatch,9,Single family household: Cohabiting couple family: All children non-dependent,40
E05013677,Carterhatch,10,Single family household: Lone parent family: With dependent children,741
E05013677,Carterhatch,11,Single family household: Lone parent family: All children non-dependent,352
E05013677,Carterhatch,12,Other household types: Other related household: Other family composition,52
E05013677,Carterhatch,13,Other household types: With dependent children,308
E05013677,Carterhatch,14,"Other household types: Other, including all full-time students and all aged 66 years and over",147
E05013678,Cockfosters,-8,Does not apply,0
E05013678,Cockfosters,1,One-person household: Aged 66 years and over,619
E05013678,Cockfosters,2,One-person household: Other,477
E05013678,Cockfosters,3,Single family household: All aged 66 years and over,392
E05013678,Cockfosters,4,Single family household: Married or civil partnership couple: No children,316
E05013678,Cockfosters,5,Single family household: Married or civil partnership couple: Dependent children,765
E05013678,Cockfosters,6,Single family household: Married or civil partnership couple: All children non-dependent,364
E05013678,Cockfosters,7,Single family household: Cohabiting couple family: No children,117
E05013678,Cockfosters,8,Single family household: Cohabiting couple family: With dependent children,100
E05013678,Cockfosters,9,Single family household: Cohabiting couple family: All children non-dependent,26
E05013678,Cockfosters,10,Single family household: Lone parent family: With dependent children,248
E05013678,Cockfosters,11,Single family household: Lone parent family: All children non-dependent,200
E05013678,Cockfosters,12,Other household types: Other related household: Other family composition,39
E05013678,Cockfosters,13,Other household types: With dependent children,199
E05013678,Cockfosters,14,"Other household types: Other, including all full-time students and all aged 66 years and over",163
E05013679,Edmonton Green,-8,Does not apply,0
E05013679,Edmonton Green,1,One-person household: Aged 66 years and over,621
E05013679,Edmonton Green,2,One-person household: Other,1282
E05013679,Edmonton Green,3,Single family household: All aged 66 years and over,129
E05013679,Edmonton Green,4,Single family household: Married or civil partnership couple: No children,273
E05013679,Edmonton Green,5,Single family household: Married or civil partnership couple: Dependent children,895
E05013679,Edmonton Green,6,Single family household: Married or civil partnership couple: All children non-dependent,325
E05013679,Edmonton Green,7,Single family household: Cohabiting couple family: No children,109
E05013679,Edmonton Green,8,Single family household: Cohabiting couple family: With dependent children,207
E05013679,Edmonton Green,9,Single family household: Cohabiting couple family: All children non-dependent,45
E05013679,Edmonton Green,10,Single family household: Lone parent family: With dependent children,1001
E05013679,Edmonton Green,11,Single family household: Lone parent family: All children non-dependent,564
E05013679,Edmonton Green,12,Other household types: Other related household: Other family composition,122
E05013679,Edmonton Green,13,Other household types: With dependent children,414
E05013679,Edmonton Green,14,"Other household types: Other, including all full-time students and all aged 66 years and over",265
E05013680,Enfield Lock,-8,Does not apply,0
E05013680,Enfield Lock,1,One-person household: Aged 66 years and over,468
E05013680,Enfield Lock,2,One-person household: Other,1099
E05013680,Enfield Lock,3,Single family household: All aged 66 years and over,198
E05013680,Enfield Lock,4,Single family household: Married or civil partnership couple: No children,333
E05013680,Enfield Lock,5,Single family household: Married or civil partnership couple: Dependent children,909
E05013680,Enfield Lock,6,Single family household: Married or civil partnership couple: All children non-dependent,418
E05013680,Enfield Lock,7,Single family household: Cohabiting couple family: No children,185
E05013680,Enfield Lock,8,Single family household: Cohabiting couple family: With dependent children,242
E05013680,Enfield Lock,9,Single family household: Cohabiting couple family: All children non-dependent,57
E05013680,Enfield Lock,10,Single family household: Lone parent family: With dependent children,1269
E05013680,Enfield Lock,11,Single family household: Lone parent family: All children non-dependent,453
E05013680,Enfield Lock,12,Other household types: Other related household: Other family composition,121
E05013680,Enfield Lock,13,Other household types: With dependent children,413
E05013680,Enfield Lock,14,"Other household types: Other, including all full-time students and all aged 66 years and over",246
E05013681,Grange Park,-8,Does not apply,0
E05013681,Grange Park,1,One-person household: Aged 66 years and over,472
E05013681,Grange Park,2,One-person household: Other,461
E05013681,Grange Park,3,Single family household: All aged 66 years and over,431
E05013681,Grange Park,4,Single family household: Married or civil partnership couple: No children,333
E05013681,Grange Park,5,Single family household: Married or civil partnership couple: Dependent children,726
E05013681,Grange Park,6,Single family household: Married or civil partnership couple: All children non-dependent,339
E05013681,Grange Park,7,Single family household: Cohabiting couple family: No children,125
E05013681,Grange Park,8,Single family household: Cohabiting couple family: With dependent children,95
E05013681,Grange Park,9,Single family household: Cohabiting couple family: All children non-dependent,22
E05013681,Grange Park,10,Single family household: Lone parent family: With dependent children,219
E05013681,Grange Park,11,Single family household: Lone parent family: All children non-dependent,152
E05013681,Grange Park,12,Other household types: Other related household: Other family composition,23
E05013681,Grange Park,13,Other household types: With dependent children,117
E05013681,Grange Park,14,"Other household types: Other, including all full-time students and all aged 66 years and over",161
E05013682,Haselbury,-8,Does not apply,0
E05013682,Haselbury,1,One-person household: Aged 66 years and over,547
E05013682,Haselbury,2,One-person household: Other,905
E05013682,Haselbury,3,Single family household: All aged 66 years and over,261
E05013682,Haselbury,4,Single family household: Married or civil partnership couple: No children,335
E05013682,Haselbury,5,Single family household: Married or civil partnership couple: Dependent children,966
E05013682,Haselbury,6,Single family household: Married or civil partnership couple: All children non-dependent,494
E05013682,Haselbury,7,Single family household: Cohabiting couple family: No children,111
E05013682,Haselbury,8,Single family household: Cohabiting couple family: With dependent children,195
E05013682,Haselbury,9,Single family household: Cohabiting couple family: All children non-dependent,48
E05013682,Haselbury,10,Single family household: Lone parent family: With dependent children,798
E05013682,Haselbury,11,Single family household: Lone parent family: All children non-dependent,531
E05013682,Haselbury,12,Other household types: Other related household: Other family composition,106
E05013682,Haselbury,13,Other household types: With dependent children,490
E05013682,Haselbury,14,"Other household types: Other, including all full-time students and all aged 66 years and over",353
E05013683,Highfield (Enfield),-8,Does not apply,0
E05013683,Highfield (Enfield),1,One-person household: Aged 66 years and over,380
E05013683,Highfield (Enfield),2,One-person household: Other,407
E05013683,Highfield (Enfield),3,Single family household: All aged 66 years and over,241
E05013683,Highfield (Enfield),4,Single family household: Married or civil partnership couple: No children,219
E05013683,Highfield (Enfield),5,Single family household: Married or civil partnership couple: Dependent children,561
E05013683,Highfield (Enfield),6,Single family household: Married or civil partnership couple: All children non-dependent,321
E05013683,Highfield (Enfield),7,Single family household: Cohabiting couple family: No children,74
E05013683,Highfield (Enfield),8,Single family household: Cohabiting couple family: With dependent children,94
E05013683,Highfield (Enfield),9,Single family household: Cohabiting couple family: All children non-dependent,21
E05013683,Highfield (Enfield),10,Single family household: Lone parent family: With dependent children,227
E05013683,Highfield (Enfield),11,Single family household: Lone parent family: All children non-dependent,254
E05013683,Highfield (Enfield),12,Other household types: Other related household: Other family composition,47
E05013683,Highfield (Enfield),13,Other household types: With dependent children,248
E05013683,Highfield (Enfield),14,"Other household types: Other, including all full-time students and all aged 66 years and over",191
E05013684,Jubilee (Enfield),-8,Does not apply,0
E05013684,Jubilee (Enfield),1,One-person household: Aged 66 years and over,569
E05013684,Jubilee (Enfield),2,One-person household: Other,853
E05013684,Jubilee (Enfield),3,Single family household: All aged 66 years and over,283
E05013684,Jubilee (Enfield),4,Single family household: Married or civil partnership couple: No children,310
E05013684,Jubilee (Enfield),5,Single family household: Married or civil partnership couple: Dependent children,902
E05013684,Jubilee (Enfield),6,Single family household: Married or civil partnership couple: All children non-dependent,478
E05013684,Jubilee (Enfield),7,Single family household: Cohabiting couple family: No children,105
E05013684,Jubilee (Enfield),8,Single family household: Cohabiting couple family: With dependent children,205
E05013684,Jubilee (Enfield),9,Single family household: Cohabiting couple family: All children non-dependent,22
E05013684,Jubilee (Enfield),10,Single family household: Lone parent family: With dependent children,839
E05013684,Jubilee (Enfield),11,Single family household: Lone parent family: All children non-dependent,438
E05013684,Jubilee (Enfield),12,Other household types: Other related household: Other family composition,103
E05013684,Jubilee (Enfield),13,Other household types: With dependent children,386
E05013684,Jubilee (Enfield),14,"Other household types: Other, including all full-time students and all aged 66 years and over",253
E05013685,Lower Edmonton,-8,Does not apply,0
E05013685,Lower Edmonton,1,One-person household: Aged 66 years and over,550
E05013685,Lower Edmonton,2,One-person household: Other,943
E05013685,Lower Edmonton,3,Single family household: All aged 66 years and over,173
